name,owner,url,stars,age_days,merged_pull_requests,total_releases,days_since_last_update,primary_language,total_issues,closed_issues,closed_issues_percentage
freeCodeCamp,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,426149,3893,25726,0,0,TypeScript,19829,19634,99.02
build-your-own-x,codecrafters-io,https://github.com/codecrafters-io/build-your-own-x,412624,2661,142,0,0,Markdown,823,595,72.3
awesome,sindresorhus,https://github.com/sindresorhus/awesome,393797,4059,679,0,0,Unknown,353,340,96.32
free-programming-books,EbookFoundation,https://github.com/EbookFoundation/free-programming-books,365570,4332,6820,0,0,Python,1181,1150,97.38
public-apis,public-apis,https://github.com/public-apis/public-apis,362164,3440,1872,0,0,Python,712,704,98.88
developer-roadmap,kamranahmedse,https://github.com/kamranahmedse/developer-roadmap,334265,3081,3693,1,0,TypeScript,2941,2693,91.57
coding-interview-university,jwasham,https://github.com/jwasham/coding-interview-university,324627,3363,415,0,0,Unknown,516,453,87.79
system-design-primer,donnemartin,https://github.com/donnemartin/system-design-primer,316821,3098,200,0,0,Python,339,91,26.84
996.ICU,996icu,https://github.com/996icu/996.ICU,274117,2340,1067,0,0,Unknown,0,0,0
awesome-python,vinta,https://github.com/vinta/awesome-python,256068,4072,544,0,0,Python,0,0,0
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,243011,3734,2394,1,0,Unknown,806,806,100.0
project-based-learning,practical-tutorials,https://github.com/practical-tutorials/project-based-learning,240414,3053,182,0,0,Unknown,209,79,37.8
react,facebook,https://github.com/facebook/react,238296,4472,12124,105,0,JavaScript,13992,13196,94.31
vue,vuejs,https://github.com/vuejs/vue,209291,4406,1133,249,0,TypeScript,10028,9673,96.46
Python,TheAlgorithms,https://github.com/TheAlgorithms/Python,204241,3323,2976,0,0,Python,1587,1511,95.21
linux,torvalds,https://github.com/torvalds/linux,200396,5099,10,0,0,C,0,0,0
javascript-algorithms,trekhleb,https://github.com/trekhleb/javascript-algorithms,193044,2707,302,0,0,JavaScript,366,229,62.57
tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,191266,3575,35979,219,0,C++,40738,39839,97.79
computer-science,ossu,https://github.com/ossu/computer-science,190756,4127,298,0,0,HTML,652,638,97.85
the-book-of-secret-knowledge,trimstray,https://github.com/trimstray/the-book-of-secret-knowledge,183153,2616,122,0,0,Unknown,0,0,0
You-Dont-Know-JS,getify,https://github.com/getify/You-Dont-Know-JS,182991,4296,368,0,0,Unknown,944,863,91.42
CS-Notes,CyC2018,https://github.com/CyC2018/CS-Notes,181531,2746,374,0,0,Unknown,571,448,78.46
ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,180859,5837,3377,0,0,Shell,4964,4824,97.18
AutoGPT,Significant-Gravitas,https://github.com/Significant-Gravitas/AutoGPT,177978,889,3194,68,0,Python,3391,3230,95.25
vscode,microsoft,https://github.com/microsoft/vscode,175957,3639,36212,177,0,TypeScript,205371,193256,94.1
bootstrap,twbs,https://github.com/twbs/bootstrap,172891,5136,8972,93,0,MDX,22750,22345,98.22
flutter,flutter,https://github.com/flutter/flutter,172001,3820,43823,7,0,Dart,108821,96912,89.06
Python-100-Days,jackfrued,https://github.com/jackfrued/Python-100-Days,171134,2730,13,0,0,Jupyter Notebook,691,118,17.08
gitignore,github,https://github.com/github/gitignore,168785,5399,1713,0,0,Unknown,0,0,0
the-art-of-command-line,jlevy,https://github.com/jlevy/the-art-of-command-line,157857,3746,317,0,0,Unknown,258,136,52.71
stable-diffusion-webui,AUTOMATIC1111,https://github.com/AUTOMATIC1111/stable-diffusion-webui,155805,1095,1874,27,0,Python,7830,5467,69.82
JavaGuide,Snailclimb,https://github.com/Snailclimb/JavaGuide,151364,2663,1180,0,0,Java,1104,1032,93.48
ollama,ollama,https://github.com/ollama/ollama,150650,787,2469,143,0,Go,7995,6232,77.95
awesome-go,avelino,https://github.com/avelino/awesome-go,150476,4064,3458,0,0,Go,687,681,99.13
transformers,huggingface,https://github.com/huggingface/transformers,148610,2488,16663,223,0,Python,17816,16731,93.91
javascript,airbnb,https://github.com/airbnb/javascript,147282,4675,810,0,0,JavaScript,1366,1269,92.9
Microsoft-Activation-Scripts,massgravel,https://github.com/massgravel/Microsoft-Activation-Scripts,145484,2047,6,24,0,Batchfile,721,721,100.0
youtube-dl,ytdl-org,https://github.com/ytdl-org/youtube-dl,136930,5408,1642,341,0,Python,26768,23125,86.39
next.js,vercel,https://github.com/vercel/next.js,133909,3241,23642,1000,0,JavaScript,23378,21056,90.07
awesome-chatgpt-prompts,f,https://github.com/f/awesome-chatgpt-prompts,132983,990,171,0,0,JavaScript,0,0,0
n8n,n8n-io,https://github.com/n8n-io/n8n,131552,2252,10628,382,0,TypeScript,5168,4547,87.98
go,golang,https://github.com/golang/go,129514,4020,1,0,0,Go,67935,58759,86.49
fucking-algorithm,labuladong,https://github.com/labuladong/fucking-algorithm,128954,2010,238,1,0,Markdown,918,916,99.78
tech-interview-handbook,yangshun,https://github.com/yangshun/tech-interview-handbook,128791,3334,481,0,0,TypeScript,115,74,64.35
scrcpy,Genymobile,https://github.com/Genymobile/scrcpy,126898,2830,113,47,0,C,5617,3170,56.44
HelloGitHub,521xueweihan,https://github.com/521xueweihan/HelloGitHub,125865,3396,16,57,0,Python,2840,2626,92.46
30-seconds-of-code,Chalarangelo,https://github.com/Chalarangelo/30-seconds-of-code,125023,2822,827,12,0,JavaScript,300,300,100.0
react-native,facebook,https://github.com/facebook/react-native,123497,3877,930,410,0,C++,27201,26547,97.6
yt-dlp,yt-dlp,https://github.com/yt-dlp/yt-dlp,123281,1760,2904,117,0,Python,9773,8174,83.64
PowerToys,microsoft,https://github.com/microsoft/PowerToys,122425,2304,5650,117,0,C#,34553,27556,79.75
electron,electron,https://github.com/electron/electron,117980,4514,23264,1000,0,C++,21049,20292,96.4
kubernetes,kubernetes,https://github.com/kubernetes/kubernetes,116996,4093,62232,755,0,Go,47692,45778,95.99
hello-algo,krahets,https://github.com/krahets/hello-algo,115619,1021,945,9,0,Java,269,257,95.54
free-programming-books-zh_CN,justjavac,https://github.com/justjavac/free-programming-books-zh_CN,115033,4308,282,3,0,Unknown,0,0,0
langchain,langchain-ai,https://github.com/langchain-ai/langchain,113957,1039,14486,946,0,Jupyter Notebook,8644,8432,97.55
node,nodejs,https://github.com/nodejs/node,112855,3920,10756,455,0,JavaScript,19456,17737,91.16
dify,langgenius,https://github.com/langgenius/dify,111674,862,7046,140,0,TypeScript,12580,11866,94.32
d3,d3,https://github.com/d3/d3,111323,5442,493,194,0,Shell,2229,2220,99.6
free-for-dev,ripienaar,https://github.com/ripienaar/free-for-dev,110557,3808,2759,0,0,HTML,0,0,0
three.js,mrdoob,https://github.com/mrdoob/three.js,108217,5630,14395,171,0,JavaScript,13172,12723,96.59
axios,axios,https://github.com/axios/axios,107436,4020,1001,97,0,JavaScript,4844,4571,94.36
open-webui,open-webui,https://github.com/open-webui/open-webui,107397,684,2508,120,0,JavaScript,6160,5965,96.83
rust,rust-lang,https://github.com/rust-lang/rust,105930,5544,65627,140,0,Rust,59231,48594,82.04
excalidraw,excalidraw,https://github.com/excalidraw/excalidraw,105744,2058,3699,14,0,TypeScript,4242,2404,56.67
TypeScript,microsoft,https://github.com/microsoft/TypeScript,105652,4083,14674,212,0,TypeScript,42449,36862,86.84
nodebestpractices,goldbergyoni,https://github.com/goldbergyoni/nodebestpractices,103974,2897,765,0,0,Dockerfile,328,285,86.89
deno,denoland,https://github.com/denoland/deno,103968,2655,13337,342,0,Rust,13179,10908,82.77
langflow,langflow-ai,https://github.com/langflow-ai/langflow,103829,924,4620,262,0,Python,2694,2258,83.82
create-react-app,facebook,https://github.com/facebook/create-react-app,103450,3322,1949,83,0,JavaScript,8401,6567,78.17
GitHub-Chinese-Top-Charts,GrowingGit,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,101286,2177,0,0,0,Java,340,161,47.35
godot,godotengine,https://github.com/godotengine/godot,100452,4247,38707,61,0,C++,58099,46012,79.2
terminal,microsoft,https://github.com/microsoft/terminal,99289,2932,4187,136,0,C++,13459,11865,88.16
DeepSeek-V3,deepseek-ai,https://github.com/deepseek-ai/DeepSeek-V3,98784,238,21,1,0,Python,588,557,94.73
angular,angular,https://github.com/angular/angular,98518,3990,3888,471,0,TypeScript,29479,28135,95.44
frp,fatedier,https://github.com/fatedier/frp,97680,3531,683,106,0,Go,3903,3842,98.44
papers-we-love,papers-we-love,https://github.com/papers-we-love/papers-we-love,97355,4267,437,0,0,Shell,246,245,99.59
Awesome-Hacking,Hack-with-Github,https://github.com/Hack-with-Github/Awesome-Hacking,96589,3431,34,0,0,Unknown,0,0,0
material-ui,mui,https://github.com/mui/material-ui,96427,4021,20803,547,0,TypeScript,20167,18553,92.0
iptv,iptv-org,https://github.com/iptv-org/iptv,96414,2471,6670,0,0,TypeScript,14830,14336,96.67
rustdesk,rustdesk,https://github.com/rustdesk/rustdesk,96103,1788,3637,31,0,Rust,3593,3537,98.44
tauri,tauri-apps,https://github.com/tauri-apps/tauri,95792,2231,5166,1000,0,Rust,5771,4645,80.49
ant-design,ant-design,https://github.com/ant-design/ant-design,95721,3772,15769,714,0,TypeScript,31623,30396,96.12
generative-ai-for-beginners,microsoft,https://github.com/microsoft/generative-ai-for-beginners,95324,794,388,0,0,Jupyter Notebook,176,165,93.75
thefuck,nvbn,https://github.com/nvbn/thefuck,93614,3788,481,17,0,Python,760,472,62.11
clean-code-javascript,ryanmcdermott,https://github.com/ryanmcdermott/clean-code-javascript,93417,3190,149,0,0,JavaScript,235,163,69.36
ui,shadcn-ui,https://github.com/shadcn-ui/ui,93376,960,636,52,0,TypeScript,3345,2378,71.09
HowToCook,Anduin2017,https://github.com/Anduin2017/HowToCook,92637,2000,586,4,0,Dockerfile,781,346,44.3
pytorch,pytorch,https://github.com/pytorch/pytorch,92570,3295,6192,61,0,Python,53245,37737,70.87
java-design-patterns,iluwatar,https://github.com/iluwatar/java-design-patterns,92537,4030,1507,0,0,Java,959,830,86.55
neovim,neovim,https://github.com/neovim/neovim,92138,4220,16135,45,0,Vim Script,13125,11475,87.43
puppeteer,puppeteer,https://github.com/puppeteer/puppeteer,91991,3025,5422,560,0,TypeScript,7219,6953,96.32
Web-Dev-For-Beginners,microsoft,https://github.com/microsoft/Web-Dev-For-Beginners,91501,1745,517,0,0,JavaScript,331,243,73.41
DeepSeek-R1,deepseek-ai,https://github.com/deepseek-ai/DeepSeek-R1,90936,213,9,1,0,Unknown,631,590,93.5
vue-element-admin,PanJiaChen,https://github.com/PanJiaChen/vue-element-admin,89791,3048,311,49,0,Vue,3609,2357,65.31
tailwindcss,tailwindlabs,https://github.com/tailwindlabs/tailwindcss,89697,2876,3070,290,0,TypeScript,4540,4460,98.24
fastapi,fastapi,https://github.com/fastapi/fastapi,88626,2448,2738,208,0,Python,3466,3417,98.59
every-programmer-should-know,mtdvio,https://github.com/mtdvio/every-programmer-should-know,87882,2919,99,0,0,Unknown,52,23,44.23
storybook,storybookjs,https://github.com/storybookjs/storybook,87561,3443,11482,1000,0,TypeScript,13693,11616,84.83
supabase,supabase,https://github.com/supabase/supabase,87466,2140,12937,22,0,TypeScript,4658,4425,95.0
awesome-mac,jaywcjlove,https://github.com/jaywcjlove/awesome-mac,87454,3322,991,12,0,JavaScript,481,367,76.3
whisper,openai,https://github.com/openai/whisper,87019,1069,119,13,0,Python,0,0,0
nvm,nvm-sh,https://github.com/nvm-sh/nvm,86503,5607,729,70,0,Shell,2315,1999,86.35
ComfyUI,comfyanonymous,https://github.com/comfyanonymous/ComfyUI,86174,947,1196,73,0,Python,6187,3669,59.3
NextChat,ChatGPTNextWeb,https://github.com/ChatGPTNextWeb/NextChat,85555,895,889,77,0,TypeScript,3547,2887,81.39
v2rayN,2dust,https://github.com/2dust/v2rayN,85315,2214,273,264,0,C#,6020,6014,99.9
llama.cpp,ggml-org,https://github.com/ggml-org/llama.cpp,85277,895,5513,1000,0,C++,5706,5366,94.04
bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,85127,5359,15511,56,0,C++,8683,8273,95.28
app-ideas,florinpop17,https://github.com/florinpop17/app-ideas,84949,2369,149,0,0,Unknown,170,44,25.88
django,django,https://github.com/django/django,84645,4863,9859,0,0,Python,0,0,0
svelte,sveltejs,https://github.com/sveltejs/svelte,83818,3196,5988,510,0,JavaScript,8497,7681,90.4
gin,gin-gonic,https://github.com/gin-gonic/gin,83672,4083,1114,27,0,Go,2348,1680,71.55
opencv,opencv,https://github.com/opencv/opencv,83650,4781,13085,66,0,C++,11234,8631,76.83
hugo,gohugoio,https://github.com/gohugoio/hugo,82990,4431,2956,337,0,Go,7799,7358,94.35
mermaid,mermaid-js,https://github.com/mermaid-js/mermaid,82296,3945,2438,162,0,TypeScript,3371,2098,62.24
realworld,gothinkster,https://github.com/gothinkster/realworld,82242,3463,433,0,0,TypeScript,542,503,92.8
animate.css,animate-css,https://github.com/animate-css/animate.css,82056,5062,315,22,0,CSS,880,841,95.57
laravel,laravel,https://github.com/laravel/laravel,81887,5188,1641,198,0,Blade,0,0,0
mall,macrozheng,https://github.com/macrozheng/mall,81353,2696,1,3,0,Java,497,487,97.99
FreeDomain,DigitalPlatDev,https://github.com/DigitalPlatDev/FreeDomain,80882,448,0,0,0,HTML,0,0,0
core,home-assistant,https://github.com/home-assistant/core,80846,4356,75781,1000,0,Python,62471,60129,96.25
FiraCode,tonsky,https://github.com/tonsky/FiraCode,79927,3936,137,29,0,Clojure,1364,954,69.94
bun,oven-sh,https://github.com/oven-sh/bun,79842,1590,5967,196,0,Zig,13097,8306,63.42
manim,3b1b,https://github.com/3b1b/manim,79678,3805,642,13,0,Python,1212,761,62.79
spring-boot,spring-projects,https://github.com/spring-projects/spring-boot,78164,4689,42,319,0,Java,39284,38729,98.59
advanced-java,doocs,https://github.com/doocs/advanced-java,78130,2511,88,1,0,Java,147,146,99.32
system-prompts-and-models-of-ai-tools,x1xhlol,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,78091,169,23,0,0,Unknown,102,54,52.94
devops-exercises,bregman-arie,https://github.com/bregman-arie/devops-exercises,78010,2149,302,0,0,Python,99,64,64.65
models,tensorflow,https://github.com/tensorflow/models,77619,3485,2341,50,0,Python,7312,6236,85.28
awesome-for-beginners,MunGell,https://github.com/MunGell/awesome-for-beginners,76805,3588,453,0,0,Unknown,185,174,94.05
ML-For-Beginners,microsoft,https://github.com/microsoft/ML-For-Beginners,76743,1632,374,0,0,HTML,147,141,95.92
awesome-interview-questions,DopplerHQ,https://github.com/DopplerHQ/awesome-interview-questions,76631,3554,175,0,0,Unknown,61,34,55.74
gpt4all,nomic-ai,https://github.com/nomic-ai/gpt4all,76518,878,934,38,0,C++,2185,1487,68.05
LeetCodeAnimation,MisterBooo,https://github.com/MisterBooo/LeetCodeAnimation,76403,2450,63,0,0,Java,62,42,67.74
playwright,microsoft,https://github.com/microsoft/playwright,76235,2106,15066,151,0,TypeScript,16306,15474,94.9
netdata,netdata,https://github.com/netdata/netdata,75626,4448,10930,120,0,C,8115,7947,97.93
Font-Awesome,FortAwesome,https://github.com/FortAwesome/Font-Awesome,75585,4934,211,60,0,JavaScript,19752,16000,81.0
funNLP,fighting41love,https://github.com/fighting41love/funNLP,75581,2557,14,0,0,Python,81,47,58.02
system-design-101,ByteByteGoHq,https://github.com/ByteByteGoHq/system-design-101,75442,702,23,0,0,Unknown,54,17,31.48
syncthing,syncthing,https://github.com/syncthing/syncthing,75387,4286,2754,439,0,Go,5698,5366,94.17
github-readme-stats,anuraghazra,https://github.com/anuraghazra/github-readme-stats,75168,1869,1303,0,0,JavaScript,1304,1108,84.97
vite,vitejs,https://github.com/vitejs/vite,74839,1948,5586,598,0,TypeScript,8082,7618,94.26
json-server,typicode,https://github.com/typicode/json-server,74812,4285,121,38,0,JavaScript,1169,549,46.96
union,unionlabs,https://github.com/unionlabs/union,74397,827,2758,95,0,Rust,1822,1590,87.27
weekly,ruanyf,https://github.com/ruanyf/weekly,74106,2504,101,0,0,Unknown,7104,1080,15.2
immich,immich-app,https://github.com/immich-app/immich,73890,1295,7140,260,0,TypeScript,6278,5702,90.83
elasticsearch,elastic,https://github.com/elastic/elasticsearch,73589,5673,80539,202,0,Java,40623,36297,89.35
hoppscotch,hoppscotch,https://github.com/hoppscotch/hoppscotch,73586,2192,1869,83,0,TypeScript,2044,1555,76.08
uptime-kuma,louislam,https://github.com/louislam/uptime-kuma,73554,1510,1317,111,0,JavaScript,4166,3453,82.89
code-server,coder,https://github.com/coder/code-server,73501,2367,1576,200,0,TypeScript,3704,3569,96.36
awesome-vue,vuejs,https://github.com/vuejs/awesome-vue,73192,3593,3574,0,0,Unknown,228,190,83.33
fzf,junegunn,https://github.com/junegunn/fzf,73078,4320,595,70,0,Go,3016,2780,92.18
Best-websites-a-programmer-should-visit,sdmg15,https://github.com/sdmg15/Best-websites-a-programmer-should-visit,72856,3090,431,0,0,Unknown,174,103,59.2
Deep-Live-Cam,hacksider,https://github.com/hacksider/Deep-Live-Cam,72633,697,85,8,0,Python,986,919,93.2
nest,nestjs,https://github.com/nestjs/nest,72333,3119,7407,131,0,TypeScript,5673,5644,99.49
markitdown,microsoft,https://github.com/microsoft/markitdown,72120,280,147,14,0,Python,323,69,21.36
d2l-zh,d2l-ai,https://github.com/d2l-ai/d2l-zh,71830,2920,1019,16,0,Python,0,0,0
stable-diffusion,CompVis,https://github.com/CompVis/stable-diffusion,71357,1107,5,0,0,Jupyter Notebook,727,195,26.82
clash-verge-rev,clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,71138,639,320,50,0,TypeScript,3781,3672,97.12
gemini-cli,google-gemini,https://github.com/google-gemini/gemini-cli,70996,126,1903,46,0,TypeScript,3552,2027,57.07
screenshot-to-code,abi,https://github.com/abi/screenshot-to-code,70768,646,49,0,0,Python,382,278,72.77
Front-End-Checklist,thedaviddias,https://github.com/thedaviddias/Front-End-Checklist,70722,2866,179,1,0,Unknown,148,147,99.32
redis,redis,https://github.com/redis/redis,70552,5996,4162,96,0,C,6780,4628,68.26
moby,moby,https://github.com/moby/moby,70506,4598,21482,237,0,Go,23125,19928,86.18
flask,pallets,https://github.com/pallets/flask,70199,5616,1613,37,0,Python,2692,2691,99.96
Ventoy,ventoy,https://github.com/ventoy/Ventoy,70025,1990,280,105,0,C,2531,1671,66.02
cs-video-courses,Developer-Y,https://github.com/Developer-Y/cs-video-courses,69613,3226,234,0,0,Unknown,0,0,0
grafana,grafana,https://github.com/grafana/grafana,69561,4271,56755,550,0,TypeScript,40955,37478,91.51
awesome-react,enaqx,https://github.com/enaqx/awesome-react,69504,4033,780,0,0,Unknown,113,109,96.46
reveal.js,hakimel,https://github.com/hakimel/reveal.js,69447,5189,409,49,0,JavaScript,2463,1690,68.62
awesome-machine-learning,josephmisiti,https://github.com/josephmisiti/awesome-machine-learning,69398,4055,872,0,0,Python,93,93,100.0
PayloadsAllTheThings,swisskyrepo,https://github.com/swisskyrepo/PayloadsAllTheThings,69345,3229,548,5,0,Python,0,0,0
strapi,strapi,https://github.com/strapi/strapi,69224,3613,9123,478,0,TypeScript,11181,10198,91.21
gpt_academic,binary-husky,https://github.com/binary-husky/gpt_academic,69143,885,223,32,0,Python,1741,1478,84.89
tesseract,tesseract-ocr,https://github.com/tesseract-ocr/tesseract,68985,4027,1411,34,0,C++,2726,2303,84.48
swift,swiftlang,https://github.com/swiftlang/swift,68973,3589,55440,60,0,C++,16778,9428,56.19
protobuf,protocolbuffers,https://github.com/protocolbuffers/protobuf,68858,4013,7780,195,0,C++,6640,6406,96.48
cpython,python,https://github.com/python/cpython,68465,3114,52794,0,0,Python,73353,66117,90.14
node,base,https://github.com/base/node,68446,932,186,54,0,Go,241,190,78.84
browser-use,browser-use,https://github.com/browser-use/browser-use,68345,294,984,73,0,Python,1059,551,52.03
sherlock,sherlock-project,https://github.com/sherlock-project/sherlock,68138,2432,642,1,0,Python,1074,970,90.32
imgui,ocornut,https://github.com/ocornut/imgui,67717,4049,405,114,0,C++,6535,5524,84.53
superset,apache,https://github.com/apache/superset,67683,3684,14835,232,0,TypeScript,11631,11168,96.02
express,expressjs,https://github.com/expressjs/express,67561,5900,460,160,0,JavaScript,3990,3885,97.37
openai-cookbook,openai,https://github.com/openai/openai-cookbook,67318,1259,863,0,0,Jupyter Notebook,599,557,92.99
new-pac,Alvin9999,https://github.com/Alvin9999/new-pac,67247,3438,0,0,0,Python,1772,1333,75.23
awesome-mcp-servers,punkpeye,https://github.com/punkpeye/awesome-mcp-servers,66846,264,920,0,0,Unknown,102,74,72.55
LLMs-from-scratch,rasbt,https://github.com/rasbt/LLMs-from-scratch,66792,760,388,0,0,Jupyter Notebook,176,172,97.73
cs-self-learning,PKUFlyingPig,https://github.com/PKUFlyingPig/cs-self-learning,66607,1401,297,5,0,HTML,210,104,49.52
Chart.js,chartjs,https://github.com/chartjs/Chart.js,66404,4539,3002,116,0,JavaScript,7265,6804,93.65
obs-studio,obsproject,https://github.com/obsproject/obs-studio,66313,4342,5220,223,0,C,4605,3932,85.39
caddy,caddyserver,https://github.com/caddyserver/caddy,66293,3873,2120,128,0,Go,4323,4146,95.91
localsend,localsend,https://github.com/localsend/localsend,66288,979,667,24,0,Dart,1432,645,45.04
ansible,ansible,https://github.com/ansible/ansible,65993,4916,39191,162,0,Python,33029,32477,98.33
awesome-cpp,fffaraz,https://github.com/fffaraz/awesome-cpp,65791,4053,800,0,0,Unknown,583,237,40.65
tabby,Eugeny,https://github.com/Eugeny/tabby,65641,3163,1489,200,0,TypeScript,5723,3417,59.71
33-js-concepts,leonardomso,https://github.com/leonardomso/33-js-concepts,65528,2543,252,0,0,JavaScript,103,81,78.64
webpack,webpack,https://github.com/webpack/webpack,65493,4912,5108,438,0,JavaScript,10089,9970,98.82
uv,astral-sh,https://github.com/astral-sh/uv,65450,688,7196,209,0,Rust,7364,5448,73.98
act,nektos,https://github.com/nektos/act,65247,2422,1045,88,0,Go,1281,1061,82.83
servers,modelcontextprotocol,https://github.com/modelcontextprotocol/servers,65185,275,868,19,0,TypeScript,633,457,72.2
SecLists,danielmiessler,https://github.com/danielmiessler/SecLists,65075,4932,681,28,0,PHP,298,291,97.65
AppFlowy,AppFlowy-IO,https://github.com/AppFlowy-IO/AppFlowy,65009,1527,3886,111,0,Dart,3620,2645,73.07
gpt4free,xtekky,https://github.com/xtekky/gpt4free,64992,876,817,331,0,Python,1861,1857,99.79
javascript-questions,lydiahallie,https://github.com/lydiahallie/javascript-questions,64783,2262,328,0,0,Unknown,250,233,93.2
lobe-chat,lobehub,https://github.com/lobehub/lobe-chat,64703,823,2509,1000,0,TypeScript,4333,3440,79.39
awesome-scalability,binhnguyennus,https://github.com/binhnguyennus/awesome-scalability,64659,2794,36,0,0,Unknown,0,0,0
Stirling-PDF,Stirling-Tools,https://github.com/Stirling-Tools/Stirling-PDF,64505,937,2217,135,0,Java,1393,1077,77.32
echarts,apache,https://github.com/apache/echarts,64425,4523,1446,122,0,TypeScript,19087,17225,90.24
interviews,kdn251,https://github.com/kdn251/interviews,64382,3110,42,0,0,Java,56,24,42.86
zed,zed-industries,https://github.com/zed-industries/zed,64188,1643,16350,967,0,Rust,14089,11480,81.48
awesome-public-datasets,awesomedata,https://github.com/awesomedata/awesome-public-datasets,64132,3927,188,1,0,Unknown,118,48,40.68
lazygit,jesseduffield,https://github.com/jesseduffield/lazygit,63865,2651,1690,169,0,Go,2290,1593,69.56
nocode,kelseyhightower,https://github.com/kelseyhightower/nocode,63774,2752,1,1,0,Dockerfile,4863,716,14.72
the-algorithm,twitter,https://github.com/twitter/the-algorithm,63506,878,2,0,0,Scala,1010,729,72.18
keras,keras-team,https://github.com/keras-team/keras,63357,3799,4240,80,0,Python,12528,12295,98.14
anime,juliangarnier,https://github.com/juliangarnier/anime,63316,3447,79,22,0,JavaScript,793,718,90.54
scikit-learn,scikit-learn,https://github.com/scikit-learn/scikit-learn,63088,5483,13458,47,0,Python,11651,10073,86.46
ragflow,infiniflow,https://github.com/infiniflow/ragflow,62834,618,3734,31,0,TypeScript,4974,2298,46.2
design-resources-for-developers,bradtraversy,https://github.com/bradtraversy/design-resources-for-developers,62792,1933,949,0,0,Unknown,104,104,100.0
Java,TheAlgorithms,https://github.com/TheAlgorithms/Java,62760,3323,2018,0,0,Java,1108,1100,99.28
annotated_deep_learning_paper_implementations,labmlai,https://github.com/labmlai/annotated_deep_learning_paper_implementations,62656,1822,101,0,0,Python,137,113,82.48
resume.github.com,resume,https://github.com/resume/resume.github.com,62595,5310,84,0,0,JavaScript,122,66,54.1
Apollo-11,chrislgarry,https://github.com/chrislgarry/Apollo-11,62490,4158,343,0,0,Assembly,382,326,85.34
OpenHands,All-Hands-AI,https://github.com/All-Hands-AI/OpenHands,62380,526,5119,76,0,Python,3281,2944,89.73
awesome-courses,prakhar1989,https://github.com/prakhar1989/awesome-courses,62337,3932,194,0,0,Unknown,80,39,48.75
socket.io,socketio,https://github.com/socketio/socket.io,62319,5642,435,75,0,TypeScript,3616,3423,94.66
awesome-nodejs,sindresorhus,https://github.com/sindresorhus/awesome-nodejs,62298,4059,418,0,0,Unknown,104,102,98.08
sway,FuelLabs,https://github.com/FuelLabs/sway,62145,1674,3498,178,0,Rust,3300,2449,74.21
docusaurus,facebook,https://github.com/facebook/docusaurus,61385,2984,5482,151,0,TypeScript,3320,3025,91.11
redux,reduxjs,https://github.com/reduxjs/redux,61307,3736,1720,78,0,TypeScript,2062,2024,98.16
awesome-llm-apps,Shubhamsaboo,https://github.com/Shubhamsaboo/awesome-llm-apps,60953,479,132,0,0,Python,93,87,93.55
Prompt-Engineering-Guide,dair-ai,https://github.com/dair-ai/Prompt-Engineering-Guide,60944,979,338,0,0,MDX,223,71,31.84
lodash,lodash,https://github.com/lodash/lodash,60862,4884,581,2,0,JavaScript,4312,4228,98.05
atom,atom,https://github.com/atom/atom,60577,4962,3933,538,0,JavaScript,17110,16148,94.38
Front-end-Developer-Interview-Questions,h5bp,https://github.com/h5bp/Front-end-Developer-Interview-Questions,60513,4941,484,0,0,Nunjucks,177,143,80.79
architect-awesome,xingshaocheng,https://github.com/xingshaocheng/architect-awesome,60395,2694,49,0,0,Unknown,71,22,30.99
open-interpreter,openinterpreter,https://github.com/openinterpreter/open-interpreter,60322,769,369,48,0,Python,1025,797,77.76
localstack,localstack,https://github.com/localstack/localstack,60204,3221,6232,94,0,Python,5997,5758,96.01
alacritty,alacritty,https://github.com/alacritty/alacritty,60030,3472,1887,101,0,Rust,6123,5799,94.71
prometheus,prometheus,https://github.com/prometheus/prometheus,60015,4653,7632,341,0,Go,6167,5644,91.52
markdown-here,adam-p,https://github.com/adam-p/markdown-here,59998,4848,27,17,0,JavaScript,629,324,51.51
llm-course,mlabonne,https://github.com/mlabonne/llm-course,59924,795,1,0,0,Unknown,84,30,35.71
rustlings,rust-lang,https://github.com/rust-lang/rustlings,59695,3628,912,45,0,Rust,736,686,93.21
ghidra,NationalSecurityAgency,https://github.com/NationalSecurityAgency/ghidra,59568,2365,521,45,0,Java,5533,4066,73.49
jquery,jquery,https://github.com/jquery/jquery,59542,5984,812,11,0,JavaScript,2365,2286,96.66
nerd-fonts,ryanoasis,https://github.com/ryanoasis/nerd-fonts,59254,3912,550,38,0,CSS,1093,1062,97.16
shadowsocks-windows,shadowsocks,https://github.com/shadowsocks/shadowsocks-windows,58985,4602,290,55,0,C#,2912,2727,93.65
tldr,tldr-pages,https://github.com/tldr-pages/tldr,58937,4274,14699,6,0,Markdown,1523,1341,88.05
angular.js,angular,https://github.com/angular/angular.js,58757,5706,789,0,0,JavaScript,9040,8649,95.67
